model,task,metric,estimate,point,ci_lower,ci_upper,ci,n_seeds,n_subjects,n_bootstrap,bootstrap_unit_1,bootstrap_unit_2,p_one_sided_positive,p_two_sided_zero,n_bootstrap_nonpositive,n_bootstrap_nonnegative,n_bootstrap_valid
deep_mlp,wake_vs_sleep,balanced_accuracy,baseline,0.9289463641282034,0.9176064882166409,0.9387233020877453,0.95,3,78,10000,seed,subject,0.0,0.0,0,10000,10000
deep_mlp,wake_vs_sleep,balanced_accuracy,aperiodic,0.7830696254917933,0.7572507152414155,0.8076430542295306,0.95,3,78,10000,seed,subject,0.0,0.0,0,10000,10000
deep_mlp,wake_vs_sleep,balanced_accuracy,flattened,0.5,0.5,0.5,0.95,3,78,10000,seed,subject,0.0,0.0,0,10000,10000
deep_mlp,wake_vs_sleep,balanced_accuracy,retention_aperiodic,0.8429653807049319,0.8187781295669069,0.8655823874172736,0.95,3,78,10000,seed,subject,0.0,0.0,0,10000,10000
deep_mlp,wake_vs_sleep,balanced_accuracy,retention_flattened,0.5382442079626841,0.5326383172767046,0.5448958855682832,0.95,3,78,10000,seed,subject,0.0,0.0,0,10000,10000
deep_mlp,wake_vs_sleep,balanced_accuracy,drop_aperiodic,0.14587673863641015,0.12508942386475932,0.1679545742924305,0.95,3,78,10000,seed,subject,0.0,0.0,0,10000,10000
deep_mlp,wake_vs_sleep,balanced_accuracy,drop_flattened,0.4289463641282034,0.4176064882166409,0.4387233020877453,0.95,3,78,10000,seed,subject,0.0,0.0,0,10000,10000
deep_mlp,wake_vs_sleep,macro_f1,baseline,0.915476676066762,0.9018929171011862,0.9264281156889188,0.95,3,78,10000,seed,subject,0.0,0.0,0,10000,10000
deep_mlp,wake_vs_sleep,macro_f1,aperiodic,0.7950793252026301,0.7646811346713213,0.8234851791909364,0.95,3,78,10000,seed,subject,0.0,0.0,0,10000,10000
deep_mlp,wake_vs_sleep,macro_f1,flattened,0.2249657185777319,0.20828093260185646,0.24225188335755587,0.95,3,78,10000,seed,subject,0.0,0.0,0,10000,10000
deep_mlp,wake_vs_sleep,macro_f1,retention_aperiodic,0.8684867086058327,0.8390264554062837,0.8960513166922023,0.95,3,78,10000,seed,subject,0.0,0.0,0,10000,10000
deep_mlp,wake_vs_sleep,macro_f1,retention_flattened,0.24573615522819292,0.22762829386841132,0.264467513552297,0.95,3,78,10000,seed,subject,0.0,0.0,0,10000,10000
