model,task,metric,estimate,baseline_input,aperiodic_input,flattened_input,point,ci_lower,ci_upper,ci,n_folds,n_bootstrap
linear_ridge,wake_vs_sleep,balanced_accuracy,full_log_psd,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.9398824566180979,0.9230112481242193,0.9517620061200699,0.95,5,10000
linear_ridge,wake_vs_sleep,balanced_accuracy,aperiodic_spectrum,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.7977653721260449,0.7572335759817669,0.836382412921548,0.95,5,10000
linear_ridge,wake_vs_sleep,balanced_accuracy,flattened_log_psd,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.5,0.5,0.5,0.95,5,10000
linear_ridge,wake_vs_sleep,balanced_accuracy,retention_aperiodic,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.848792704352179,0.8177960216633456,0.8856692649759327,0.95,5,10000
linear_ridge,wake_vs_sleep,balanced_accuracy,retention_flattened,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.5319814158454549,0.5253414160103826,0.541705207835896,0.95,5,10000
linear_ridge,wake_vs_sleep,balanced_accuracy,drop_aperiodic,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.14211708449205296,0.1087024270582907,0.169251081747252,0.95,5,10000
linear_ridge,wake_vs_sleep,balanced_accuracy,drop_flattened,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.4398824566180979,0.4230112481242193,0.4517620061200699,0.95,5,10000
linear_ridge,wake_vs_sleep,macro_f1,full_log_psd,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.907920933005208,0.8972264712994438,0.9186619927995616,0.95,5,10000
linear_ridge,wake_vs_sleep,macro_f1,aperiodic_spectrum,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.8453856566469053,0.8085327982097666,0.8856408339097506,0.95,5,10000
linear_ridge,wake_vs_sleep,macro_f1,flattened_log_psd,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.14754470737888004,0.13264456320280876,0.1682992407161909,0.95,5,10000
linear_ridge,wake_vs_sleep,macro_f1,retention_aperiodic,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.9311225525428611,0.8982329670385496,0.9635339135710309,0.95,5,10000
linear_ridge,wake_vs_sleep,macro_f1,retention_flattened,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.16250832205234955,0.14606669673240358,0.18521608049486768,0.95,5,10000
linear_ridge,wake_vs_sleep,macro_f1,drop_aperiodic,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.0625352763583027,0.033350788466678494,0.091719764249927,0.95,5,10000
linear_ridge,wake_vs_sleep,macro_f1,drop_flattened,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.760376225626328,0.742205714399703,0.777479831765271,0.95,5,10000
linear_ridge,wake_vs_sleep,accuracy,full_log_psd,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.9437336261767341,0.9364955338398367,0.9517758050073519,0.95,5,10000
linear_ridge,wake_vs_sleep,accuracy,aperiodic_spectrum,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.9258674982904507,0.9069353269552064,0.9447996696256948,0.95,5,10000
linear_ridge,wake_vs_sleep,accuracy,flattened_log_psd,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.17382608792356147,0.15305298965352918,0.20387865636711097,0.95,5,10000
linear_ridge,wake_vs_sleep,accuracy,retention_aperiodic,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.9810686751105152,0.9680199726263184,0.9939296906012299,0.95,5,10000
linear_ridge,wake_vs_sleep,accuracy,retention_flattened,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.18418977887623647,0.16179499734702252,0.2173475422920214,0.95,5,10000
linear_ridge,wake_vs_sleep,accuracy,drop_aperiodic,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.01786612788628339,0.005770253538773362,0.029962002233793306,0.95,5,10000
linear_ridge,wake_vs_sleep,accuracy,drop_flattened,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.7699075382531726,0.7346309421792403,0.7951754178258104,0.95,5,10000
linear_ridge,n2_vs_n3,balanced_accuracy,full_log_psd,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.8951978064773576,0.8578594131262693,0.9258744804449206,0.95,5,10000
linear_ridge,n2_vs_n3,balanced_accuracy,aperiodic_spectrum,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.8135046937946253,0.7332792282752194,0.8902057174913892,0.95,5,10000
linear_ridge,n2_vs_n3,balanced_accuracy,flattened_log_psd,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.5,0.5,0.5,0.95,5,10000
linear_ridge,n2_vs_n3,balanced_accuracy,retention_aperiodic,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.9087429481041758,0.8409782634066024,0.9784598540040611,0.95,5,10000
linear_ridge,n2_vs_n3,balanced_accuracy,retention_flattened,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.5585357743083864,0.5400300046716154,0.5828460845091926,0.95,5,10000
linear_ridge,n2_vs_n3,balanced_accuracy,drop_aperiodic,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.08169311268273227,0.019578335533620317,0.13994577674110253,0.95,5,10000
linear_ridge,n2_vs_n3,balanced_accuracy,drop_flattened,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.3951978064773576,0.35785941312626934,0.4258744804449206,0.95,5,10000
linear_ridge,n2_vs_n3,macro_f1,full_log_psd,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.8617342016790905,0.8355256303634734,0.8878258795881528,0.95,5,10000
linear_ridge,n2_vs_n3,macro_f1,aperiodic_spectrum,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.723679929899546,0.630868464136511,0.816491395662581,0.95,5,10000
linear_ridge,n2_vs_n3,macro_f1,flattened_log_psd,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.1982913872888237,0.14873667107361208,0.26397344112593263,0.95,5,10000
linear_ridge,n2_vs_n3,macro_f1,retention_aperiodic,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.8397948328956358,0.7519943592410695,0.9276295066895447,0.95,5,10000
linear_ridge,n2_vs_n3,macro_f1,retention_flattened,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.23010736594004577,0.16922645413019846,0.3168175571189732,0.95,5,10000
linear_ridge,n2_vs_n3,macro_f1,drop_aperiodic,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.13805427177954455,0.06292406541835782,0.2080586586323332,0.95,5,10000
linear_ridge,n2_vs_n3,macro_f1,drop_flattened,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.6634428143902669,0.5749484311124102,0.7301842508242014,0.95,5,10000
linear_ridge,n2_vs_n3,accuracy,full_log_psd,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.8925181335844501,0.8544545442474313,0.9243844381523427,0.95,5,10000
linear_ridge,n2_vs_n3,accuracy,aperiodic_spectrum,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.760412665205032,0.6710483197152686,0.8528401258135603,0.95,5,10000
linear_ridge,n2_vs_n3,accuracy,flattened_log_psd,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.2575547537587993,0.17513218751601492,0.37402876115397266,0.95,5,10000
linear_ridge,n2_vs_n3,accuracy,retention_aperiodic,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.8519856757992489,0.7707320029138683,0.9371733574087991,0.95,5,10000
linear_ridge,n2_vs_n3,accuracy,retention_flattened,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.28857089180298373,0.18989465040015305,0.4406975296591239,0.95,5,10000
linear_ridge,n2_vs_n3,accuracy,drop_aperiodic,full_log_psd,aperiodic_spectrum,flattened_log_psd,0.13210546837941806,0.057317338654572114,0.20048988411081092,0.95,5,10000
