model,task,metric,estimate,point,ci_lower,ci_upper,ci,n_seeds,n_subjects,n_bootstrap,bootstrap_unit_1,bootstrap_unit_2,p_one_sided_positive,p_two_sided_zero,n_bootstrap_nonpositive,n_bootstrap_nonnegative,n_bootstrap_valid
eegnet,imagined_left_vs_right_fist,balanced_accuracy,baseline,0.743800217501383,0.7203405572621767,0.7674411494310427,0.95,3,109,10000,seed,subject,0.0,0.0,0,10000,10000
eegnet,imagined_left_vs_right_fist,balanced_accuracy,sham,0.743800217501383,0.7203405572621767,0.7674411494310427,0.95,3,109,10000,seed,subject,0.0,0.0,0,10000,10000
eegnet,imagined_left_vs_right_fist,balanced_accuracy,aperiodic,0.7369599930255384,0.7142899370492283,0.7595298837857181,0.95,3,109,10000,seed,subject,0.0,0.0,0,10000,10000
eegnet,imagined_left_vs_right_fist,balanced_accuracy,flattened,0.7387444618283323,0.7167554899388039,0.7608730529265529,0.95,3,109,10000,seed,subject,0.0,0.0,0,10000,10000
eegnet,imagined_left_vs_right_fist,balanced_accuracy,retention_sham,1.0,1.0,1.0,0.95,3,109,10000,seed,subject,0.0,0.0,0,10000,10000
eegnet,imagined_left_vs_right_fist,balanced_accuracy,retention_aperiodic,0.9908036804576064,0.9794187692317671,1.0027404150787793,0.95,3,109,10000,seed,subject,0.0,0.0,0,10000,10000
eegnet,imagined_left_vs_right_fist,balanced_accuracy,retention_flattened,0.993202804255645,0.9833253273320697,1.00324686117568,0.95,3,109,10000,seed,subject,0.0,0.0,0,10000,10000
eegnet,imagined_left_vs_right_fist,balanced_accuracy,drop_sham,0.0,0.0,0.0,0.95,3,109,10000,seed,subject,1.0,1.0,10000,10000,10000
eegnet,imagined_left_vs_right_fist,balanced_accuracy,drop_aperiodic,0.006840224475844647,-0.002000404226207701,0.015423028543167242,0.95,3,109,10000,seed,subject,0.0612,0.1224,612,9388,10000
eegnet,imagined_left_vs_right_fist,balanced_accuracy,drop_flattened,0.005055755673050721,-0.0024060401810900686,0.012549342205808584,0.95,3,109,10000,seed,subject,0.0844,0.1688,844,9156,10000
eegnet,imagined_left_vs_right_fist,macro_f1,baseline,0.739726600366898,0.7164174940600073,0.7635199908329974,0.95,3,109,10000,seed,subject,0.0,0.0,0,10000,10000
eegnet,imagined_left_vs_right_fist,macro_f1,sham,0.739726600366898,0.7164174940600073,0.7635199908329974,0.95,3,109,10000,seed,subject,0.0,0.0,0,10000,10000
eegnet,imagined_left_vs_right_fist,macro_f1,aperiodic,0.7332886178790644,0.7107185708733977,0.7561365829315981,0.95,3,109,10000,seed,subject,0.0,0.0,0,10000,10000
eegnet,imagined_left_vs_right_fist,macro_f1,flattened,0.7354441509553195,0.7134200284108373,0.7580949299777163,0.95,3,109,10000,seed,subject,0.0,0.0,0,10000,10000
eegnet,imagined_left_vs_right_fist,macro_f1,retention_sham,1.0,1.0,1.0,0.95,3,109,10000,seed,subject,0.0,0.0,0,10000,10000
eegnet,imagined_left_vs_right_fist,macro_f1,retention_aperiodic,0.9912968081928643,0.9798459343750685,1.003428977168762,0.95,3,109,10000,seed,subject,0.0,0.0,0,10000,10000
eegnet,imagined_left_vs_right_fist,macro_f1,retention_flattened,0.994210767316662,0.9846454905678806,1.0043826031043457,0.95,3,109,10000,seed,subject,0.0,0.0,0,10000,10000
eegnet,imagined_left_vs_right_fist,macro_f1,drop_sham,0.0,0.0,0.0,0.95,3,109,10000,seed,subject,1.0,1.0,10000,10000,10000
eegnet,imagined_left_vs_right_fist,macro_f1,drop_aperiodic,0.00643798248783356,-0.002551874607015953,0.014987694096982545,0.95,3,109,10000,seed,subject,0.0747,0.1494,747,9253,10000
eegnet,imagined_left_vs_right_fist,macro_f1,drop_flattened,0.004282449411578515,-0.003211222995575495,0.01150107452261919,0.95,3,109,10000,seed,subject,0.1188,0.2376,1188,8812,10000
eegnet,imagined_left_vs_right_fist,accuracy,baseline,0.7430743014518959,0.719522276639611,0.7668229250496263,0.95,3,109,10000,seed,subject,0.0,0.0,0,10000,10000
eegnet,imagined_left_vs_right_fist,accuracy,sham,0.7430743014518959,0.719522276639611,0.7668229250496263,0.95,3,109,10000,seed,subject,0.0,0.0,0,10000,10000
eegnet,imagined_left_vs_right_fist,accuracy,aperiodic,0.7364240110980808,0.7140988908305417,0.7589111540318683,0.95,3,109,10000,seed,subject,0.0,0.0,0,10000,10000
eegnet,imagined_left_vs_right_fist,accuracy,flattened,0.7381265344809513,0.7160002324874354,0.7599729382068818,0.95,3,109,10000,seed,subject,0.0,0.0,0,10000,10000
eegnet,imagined_left_vs_right_fist,accuracy,retention_sham,1.0,1.0,1.0,0.95,3,109,10000,seed,subject,0.0,0.0,0,10000,10000
eegnet,imagined_left_vs_right_fist,accuracy,retention_aperiodic,0.99105030231725,0.9797135100056009,1.0029354845428822,0.95,3,109,10000,seed,subject,0.0,0.0,0,10000,10000
eegnet,imagined_left_vs_right_fist,accuracy,retention_flattened,0.9933414909366707,0.9837556244424503,1.0032938964895484,0.95,3,109,10000,seed,subject,0.0,0.0,0,10000,10000
eegnet,imagined_left_vs_right_fist,accuracy,drop_sham,0.0,0.0,0.0,0.95,3,109,10000,seed,subject,1.0,1.0,10000,10000,10000
eegnet,imagined_left_vs_right_fist,accuracy,drop_aperiodic,0.006650290353815147,-0.002182098978332661,0.015185922885705208,0.95,3,109,10000,seed,subject,0.0651,0.1302,651,9349,10000
eegnet,imagined_left_vs_right_fist,accuracy,drop_flattened,0.004947766970944567,-0.0024161256862854025,0.01220538604411197,0.95,3,109,10000,seed,subject,0.0893,0.1786,893,9107,10000
shallow_fbcsp,imagined_left_vs_right_fist,balanced_accuracy,baseline,0.655089643002567,0.6335869342397215,0.6784435988443513,0.95,3,109,10000,seed,subject,0.0,0.0,0,10000,10000
shallow_fbcsp,imagined_left_vs_right_fist,balanced_accuracy,sham,0.655089643002567,0.6335869342397215,0.6784435988443513,0.95,3,109,10000,seed,subject,0.0,0.0,0,10000,10000
shallow_fbcsp,imagined_left_vs_right_fist,balanced_accuracy,aperiodic,0.6171440851816836,0.5971643215631384,0.6389115094655399,0.95,3,109,10000,seed,subject,0.0,0.0,0,10000,10000
shallow_fbcsp,imagined_left_vs_right_fist,balanced_accuracy,flattened,0.6408442641033912,0.6183754537319561,0.665221544219125,0.95,3,109,10000,seed,subject,0.0,0.0,0,10000,10000
shallow_fbcsp,imagined_left_vs_right_fist,balanced_accuracy,retention_sham,1.0,1.0,1.0,0.95,3,109,10000,seed,subject,0.0,0.0,0,10000,10000
shallow_fbcsp,imagined_left_vs_right_fist,balanced_accuracy,retention_aperiodic,0.9420757781378407,0.9235392039201996,0.9607575225800132,0.95,3,109,10000,seed,subject,0.0,0.0,0,10000,10000
shallow_fbcsp,imagined_left_vs_right_fist,balanced_accuracy,retention_flattened,0.9782543060307245,0.96323352390104,0.9927615360491581,0.95,3,109,10000,seed,subject,0.0,0.0,0,10000,10000
shallow_fbcsp,imagined_left_vs_right_fist,balanced_accuracy,drop_sham,0.0,0.0,0.0,0.95,3,109,10000,seed,subject,1.0,1.0,10000,10000,10000
shallow_fbcsp,imagined_left_vs_right_fist,balanced_accuracy,drop_aperiodic,0.03794555782088338,0.025371557026337675,0.05071156202292833,0.95,3,109,10000,seed,subject,0.0,0.0,0,10000,10000
shallow_fbcsp,imagined_left_vs_right_fist,balanced_accuracy,drop_flattened,0.014245378899175765,0.004733186378781265,0.024100100855337495,0.95,3,109,10000,seed,subject,0.0026,0.0052,26,9974,10000
shallow_fbcsp,imagined_left_vs_right_fist,macro_f1,baseline,0.6319724669186604,0.6059278732061676,0.6591095866310497,0.95,3,109,10000,seed,subject,0.0,0.0,0,10000,10000
shallow_fbcsp,imagined_left_vs_right_fist,macro_f1,sham,0.6319724669186604,0.6059278732061676,0.6591095866310497,0.95,3,109,10000,seed,subject,0.0,0.0,0,10000,10000
shallow_fbcsp,imagined_left_vs_right_fist,macro_f1,aperiodic,0.5943371435950331,0.5701288129426255,0.6198263507884423,0.95,3,109,10000,seed,subject,0.0,0.0,0,10000,10000
shallow_fbcsp,imagined_left_vs_right_fist,macro_f1,flattened,0.6168117956224777,0.588340656286838,0.6466939123507768,0.95,3,109,10000,seed,subject,0.0,0.0,0,10000,10000
shallow_fbcsp,imagined_left_vs_right_fist,macro_f1,retention_sham,1.0,1.0,1.0,0.95,3,109,10000,seed,subject,0.0,0.0,0,10000,10000
shallow_fbcsp,imagined_left_vs_right_fist,macro_f1,retention_aperiodic,0.9404478433892418,0.9184606864761906,0.9624793279699477,0.95,3,109,10000,seed,subject,0.0,0.0,0,10000,10000
shallow_fbcsp,imagined_left_vs_right_fist,macro_f1,retention_flattened,0.9760105509499452,0.9574168645318506,0.9947614192788312,0.95,3,109,10000,seed,subject,0.0,0.0,0,10000,10000
shallow_fbcsp,imagined_left_vs_right_fist,macro_f1,drop_sham,0.0,0.0,0.0,0.95,3,109,10000,seed,subject,1.0,1.0,10000,10000,10000
shallow_fbcsp,imagined_left_vs_right_fist,macro_f1,drop_aperiodic,0.03763532332362729,0.023283998865722196,0.05216464437225117,0.95,3,109,10000,seed,subject,0.0,0.0,0,10000,10000
shallow_fbcsp,imagined_left_vs_right_fist,macro_f1,drop_flattened,0.015160671296182704,0.0032805607404649928,0.02690870559614393,0.95,3,109,10000,seed,subject,0.0076,0.0152,76,9924,10000
shallow_fbcsp,imagined_left_vs_right_fist,accuracy,baseline,0.6542688270114632,0.6325492183567986,0.67733140828626,0.95,3,109,10000,seed,subject,0.0,0.0,0,10000,10000
shallow_fbcsp,imagined_left_vs_right_fist,accuracy,sham,0.6542688270114632,0.6325492183567986,0.67733140828626,0.95,3,109,10000,seed,subject,0.0,0.0,0,10000,10000
shallow_fbcsp,imagined_left_vs_right_fist,accuracy,aperiodic,0.616913333282237,0.5960305580464915,0.6390094438440647,0.95,3,109,10000,seed,subject,0.0,0.0,0,10000,10000
shallow_fbcsp,imagined_left_vs_right_fist,accuracy,flattened,0.6402919888916981,0.6174627636880162,0.6645840965819224,0.95,3,109,10000,seed,subject,0.0,0.0,0,10000,10000
shallow_fbcsp,imagined_left_vs_right_fist,accuracy,retention_sham,1.0,1.0,1.0,0.95,3,109,10000,seed,subject,0.0,0.0,0,10000,10000
shallow_fbcsp,imagined_left_vs_right_fist,accuracy,retention_aperiodic,0.9429049769956842,0.9234736607951152,0.9617588439907844,0.95,3,109,10000,seed,subject,0.0,0.0,0,10000,10000
shallow_fbcsp,imagined_left_vs_right_fist,accuracy,retention_flattened,0.9786374689688216,0.9635373258958324,0.9933569416652849,0.95,3,109,10000,seed,subject,0.0,0.0,0,10000,10000
shallow_fbcsp,imagined_left_vs_right_fist,accuracy,drop_sham,0.0,0.0,0.0,0.95,3,109,10000,seed,subject,1.0,1.0,10000,10000,10000
shallow_fbcsp,imagined_left_vs_right_fist,accuracy,drop_aperiodic,0.0373554937292262,0.024804576425773904,0.050648026794814865,0.95,3,109,10000,seed,subject,0.0,0.0,0,10000,10000
