model,task,metric,estimate,point,ci_lower,ci_upper,ci,n_seeds,n_subjects,n_bootstrap,bootstrap_unit_1,bootstrap_unit_2
eegnet,tuab_normal_vs_abnormal,balanced_accuracy,baseline,0.7099160284165045,0.61457162224342,0.7986055424503207,0.95,3,54,10000,seed,subject
eegnet,tuab_normal_vs_abnormal,balanced_accuracy,sham,0.7099160284165045,0.61457162224342,0.7986055424503207,0.95,3,54,10000,seed,subject
eegnet,tuab_normal_vs_abnormal,balanced_accuracy,aperiodic,0.6407837903065008,0.5387267710565595,0.738684171475161,0.95,3,54,10000,seed,subject
eegnet,tuab_normal_vs_abnormal,balanced_accuracy,flattened,0.5632952203316968,0.44817552385662307,0.6736352721874754,0.95,3,54,10000,seed,subject
eegnet,tuab_normal_vs_abnormal,balanced_accuracy,retention_sham,1.0,1.0,1.0,0.95,3,54,10000,seed,subject
eegnet,tuab_normal_vs_abnormal,balanced_accuracy,retention_aperiodic,0.9026191333301689,0.7628378455569824,1.0570271039011423,0.95,3,54,10000,seed,subject
eegnet,tuab_normal_vs_abnormal,balanced_accuracy,retention_flattened,0.7934673930213251,0.6589641997809476,0.9165371691654352,0.95,3,54,10000,seed,subject
eegnet,tuab_normal_vs_abnormal,balanced_accuracy,drop_sham,0.0,0.0,0.0,0.95,3,54,10000,seed,subject
eegnet,tuab_normal_vs_abnormal,balanced_accuracy,drop_aperiodic,0.06913223811000369,-0.037077291137606216,0.17731324013245017,0.95,3,54,10000,seed,subject
eegnet,tuab_normal_vs_abnormal,balanced_accuracy,drop_flattened,0.1466208080848077,0.05701128324830844,0.24525716279557,0.95,3,54,10000,seed,subject
eegnet,tuab_normal_vs_abnormal,macro_f1,baseline,0.3805388456336041,0.3331402259926974,0.422251167250967,0.95,3,54,10000,seed,subject
eegnet,tuab_normal_vs_abnormal,macro_f1,sham,0.3805388456336041,0.3331402259926974,0.422251167250967,0.95,3,54,10000,seed,subject
eegnet,tuab_normal_vs_abnormal,macro_f1,aperiodic,0.35041397909695654,0.30193401370534456,0.3954462569922017,0.95,3,54,10000,seed,subject
eegnet,tuab_normal_vs_abnormal,macro_f1,flattened,0.30653134751980765,0.2508334290065122,0.35880134158722166,0.95,3,54,10000,seed,subject
eegnet,tuab_normal_vs_abnormal,macro_f1,retention_sham,1.0,1.0,1.0,0.95,3,54,10000,seed,subject
eegnet,tuab_normal_vs_abnormal,macro_f1,retention_aperiodic,0.9208362907432247,0.8021196282635445,1.0566913796445585,0.95,3,54,10000,seed,subject
eegnet,tuab_normal_vs_abnormal,macro_f1,retention_flattened,0.80551920267017,0.6795074659110686,0.9227050966831029,0.95,3,54,10000,seed,subject
eegnet,tuab_normal_vs_abnormal,macro_f1,drop_sham,0.0,0.0,0.0,0.95,3,54,10000,seed,subject
eegnet,tuab_normal_vs_abnormal,macro_f1,drop_aperiodic,0.030124866536647532,-0.019841613582414885,0.07886851280961545,0.95,3,54,10000,seed,subject
eegnet,tuab_normal_vs_abnormal,macro_f1,drop_flattened,0.07400749811379642,0.02841133319069907,0.12395130815539451,0.95,3,54,10000,seed,subject
eegnet,tuab_normal_vs_abnormal,accuracy,baseline,0.7099160284165045,0.6160960675834191,0.7982964971096466,0.95,3,54,10000,seed,subject
eegnet,tuab_normal_vs_abnormal,accuracy,sham,0.7099160284165045,0.6160960675834191,0.7982964971096466,0.95,3,54,10000,seed,subject
eegnet,tuab_normal_vs_abnormal,accuracy,aperiodic,0.6407837903065008,0.5384442171416355,0.7378520896426998,0.95,3,54,10000,seed,subject
eegnet,tuab_normal_vs_abnormal,accuracy,flattened,0.5632952203316968,0.4526104630575588,0.6727931338484958,0.95,3,54,10000,seed,subject
eegnet,tuab_normal_vs_abnormal,accuracy,retention_sham,1.0,1.0,1.0,0.95,3,54,10000,seed,subject
eegnet,tuab_normal_vs_abnormal,accuracy,retention_aperiodic,0.9026191333301689,0.7641844941766861,1.0556221911524866,0.95,3,54,10000,seed,subject
eegnet,tuab_normal_vs_abnormal,accuracy,retention_flattened,0.7934673930213251,0.6615980580224409,0.9157574268091931,0.95,3,54,10000,seed,subject
eegnet,tuab_normal_vs_abnormal,accuracy,drop_sham,0.0,0.0,0.0,0.95,3,54,10000,seed,subject
eegnet,tuab_normal_vs_abnormal,accuracy,drop_aperiodic,0.06913223811000369,-0.03663886650436184,0.17616077578465486,0.95,3,54,10000,seed,subject
eegnet,tuab_normal_vs_abnormal,accuracy,drop_flattened,0.1466208080848077,0.0579706770001194,0.24446071696612706,0.95,3,54,10000,seed,subject
shallow_fbcsp,tuab_normal_vs_abnormal,balanced_accuracy,baseline,0.7192163188076537,0.6280576569074076,0.8070918648095214,0.95,3,54,10000,seed,subject
shallow_fbcsp,tuab_normal_vs_abnormal,balanced_accuracy,sham,0.7191665378438943,0.628008286919974,0.8070521692504491,0.95,3,54,10000,seed,subject
shallow_fbcsp,tuab_normal_vs_abnormal,balanced_accuracy,aperiodic,0.6750268036820408,0.5740560837568636,0.7718394858781862,0.95,3,54,10000,seed,subject
shallow_fbcsp,tuab_normal_vs_abnormal,balanced_accuracy,flattened,0.5583239469807756,0.44545670579980584,0.6687143291950077,0.95,3,54,10000,seed,subject
shallow_fbcsp,tuab_normal_vs_abnormal,balanced_accuracy,retention_sham,0.9999307844351447,0.9996043186204124,1.0,0.95,3,54,10000,seed,subject
shallow_fbcsp,tuab_normal_vs_abnormal,balanced_accuracy,retention_aperiodic,0.9385587979999229,0.821688376425518,1.0642765239213297,0.95,3,54,10000,seed,subject
shallow_fbcsp,tuab_normal_vs_abnormal,balanced_accuracy,retention_flattened,0.776294881498779,0.6525877462249706,0.8925755180565537,0.95,3,54,10000,seed,subject
shallow_fbcsp,tuab_normal_vs_abnormal,balanced_accuracy,drop_sham,4.9780963759404884e-05,0.0,0.00029868578255676237,0.95,3,54,10000,seed,subject
shallow_fbcsp,tuab_normal_vs_abnormal,balanced_accuracy,drop_aperiodic,0.044189515125612866,-0.04405266897020917,0.1326402577984772,0.95,3,54,10000,seed,subject
shallow_fbcsp,tuab_normal_vs_abnormal,balanced_accuracy,drop_flattened,0.1608923718268781,0.0761718312389764,0.2502602401412387,0.95,3,54,10000,seed,subject
shallow_fbcsp,tuab_normal_vs_abnormal,macro_f1,baseline,0.3868634858288747,0.34305051018445215,0.4274402316730851,0.95,3,54,10000,seed,subject
shallow_fbcsp,tuab_normal_vs_abnormal,macro_f1,sham,0.38684025007819883,0.3430243522159666,0.42743965077931817,0.95,3,54,10000,seed,subject
shallow_fbcsp,tuab_normal_vs_abnormal,macro_f1,aperiodic,0.36518897347950546,0.3165503526065583,0.4108773703607572,0.95,3,54,10000,seed,subject
shallow_fbcsp,tuab_normal_vs_abnormal,macro_f1,flattened,0.3013566310100936,0.24481565352146661,0.3557934309261533,0.95,3,54,10000,seed,subject
shallow_fbcsp,tuab_normal_vs_abnormal,macro_f1,retention_sham,0.999939938113761,0.9996524665226117,1.0,0.95,3,54,10000,seed,subject
shallow_fbcsp,tuab_normal_vs_abnormal,macro_f1,retention_aperiodic,0.9439737448910939,0.8459460373219275,1.052487440277727,0.95,3,54,10000,seed,subject
shallow_fbcsp,tuab_normal_vs_abnormal,macro_f1,retention_flattened,0.7789740878863811,0.6651408641941948,0.8826356558612547,0.95,3,54,10000,seed,subject
shallow_fbcsp,tuab_normal_vs_abnormal,macro_f1,drop_sham,2.323575067586514e-05,0.0,0.0001394145040554129,0.95,3,54,10000,seed,subject
shallow_fbcsp,tuab_normal_vs_abnormal,macro_f1,drop_aperiodic,0.021674512349369235,-0.019374485929520634,0.061722902484741805,0.95,3,54,10000,seed,subject
shallow_fbcsp,tuab_normal_vs_abnormal,macro_f1,drop_flattened,0.08550685481878112,0.044783067100893165,0.1287958544491642,0.95,3,54,10000,seed,subject
shallow_fbcsp,tuab_normal_vs_abnormal,accuracy,baseline,0.7192163188076537,0.6275619353464559,0.8051181054236488,0.95,3,54,10000,seed,subject
shallow_fbcsp,tuab_normal_vs_abnormal,accuracy,sham,0.7191665378438943,0.6275607157537401,0.8051161324171846,0.95,3,54,10000,seed,subject
shallow_fbcsp,tuab_normal_vs_abnormal,accuracy,aperiodic,0.6750268036820408,0.5735025576258009,0.7696480282807537,0.95,3,54,10000,seed,subject
shallow_fbcsp,tuab_normal_vs_abnormal,accuracy,flattened,0.5583239469807756,0.4422857247933653,0.669384255975445,0.95,3,54,10000,seed,subject
shallow_fbcsp,tuab_normal_vs_abnormal,accuracy,retention_sham,0.9999307844351447,0.9996212128334289,1.0,0.95,3,54,10000,seed,subject
