model,task,metric,estimate,point,ci_lower,ci_upper,ci,n_seeds,n_subjects,n_bootstrap,bootstrap_unit_1,bootstrap_unit_2,p_one_sided_positive,p_two_sided_zero,n_bootstrap_nonpositive,n_bootstrap_nonnegative,n_bootstrap_valid
eegnet,tuab_normal_vs_abnormal,balanced_accuracy,baseline,0.7396474987853686,0.68784963127979,0.7890609801563072,0.95,3,174,10000,seed,subject,0.0,0.0,0,10000,10000
eegnet,tuab_normal_vs_abnormal,balanced_accuracy,sham,0.7396474987853686,0.68784963127979,0.7890609801563072,0.95,3,174,10000,seed,subject,0.0,0.0,0,10000,10000
eegnet,tuab_normal_vs_abnormal,balanced_accuracy,aperiodic,0.5866611570477144,0.4992863476439462,0.6710296728858886,0.95,3,174,10000,seed,subject,0.0,0.0,0,10000,10000
eegnet,tuab_normal_vs_abnormal,balanced_accuracy,flattened,0.653059956941381,0.5816483701859082,0.7203801647313525,0.95,3,174,10000,seed,subject,0.0,0.0,0,10000,10000
eegnet,tuab_normal_vs_abnormal,balanced_accuracy,retention_sham,1.0,1.0,1.0,0.95,3,174,10000,seed,subject,0.0,0.0,0,10000,10000
eegnet,tuab_normal_vs_abnormal,balanced_accuracy,retention_aperiodic,0.7931631730129761,0.6837040465231058,0.9089469730157158,0.95,3,174,10000,seed,subject,0.0,0.0,0,10000,10000
eegnet,tuab_normal_vs_abnormal,balanced_accuracy,retention_flattened,0.8829340436002561,0.7926395932698351,0.9835008540635869,0.95,3,174,10000,seed,subject,0.0,0.0,0,10000,10000
eegnet,tuab_normal_vs_abnormal,balanced_accuracy,drop_sham,0.0,0.0,0.0,0.95,3,174,10000,seed,subject,1.0,1.0,10000,10000,10000
eegnet,tuab_normal_vs_abnormal,balanced_accuracy,drop_aperiodic,0.15298634173765424,0.06613054815524609,0.23589707671419693,0.95,3,174,10000,seed,subject,0.0005,0.001,5,9995,10000
eegnet,tuab_normal_vs_abnormal,balanced_accuracy,drop_flattened,0.08658754184398765,0.011817818722824502,0.15625912459339986,0.95,3,174,10000,seed,subject,0.012,0.024,120,9880,10000
eegnet,tuab_normal_vs_abnormal,macro_f1,baseline,0.3929787037541089,0.3689158809940673,0.41569103002173,0.95,3,174,10000,seed,subject,0.0,0.0,0,10000,10000
eegnet,tuab_normal_vs_abnormal,macro_f1,sham,0.3929787037541089,0.3689158809940673,0.41569103002173,0.95,3,174,10000,seed,subject,0.0,0.0,0,10000,10000
eegnet,tuab_normal_vs_abnormal,macro_f1,aperiodic,0.3185370135777988,0.271619843108803,0.36315766172194375,0.95,3,174,10000,seed,subject,0.0,0.0,0,10000,10000
eegnet,tuab_normal_vs_abnormal,macro_f1,flattened,0.34163590465748045,0.3063462275204943,0.3749847332258051,0.95,3,174,10000,seed,subject,0.0,0.0,0,10000,10000
eegnet,tuab_normal_vs_abnormal,macro_f1,retention_sham,1.0,1.0,1.0,0.95,3,174,10000,seed,subject,0.0,0.0,0,10000,10000
eegnet,tuab_normal_vs_abnormal,macro_f1,retention_aperiodic,0.8105706760565603,0.6931812478929569,0.9332464881869558,0.95,3,174,10000,seed,subject,0.0,0.0,0,10000,10000
eegnet,tuab_normal_vs_abnormal,macro_f1,retention_flattened,0.8693496655005656,0.7929403253178635,0.9529953198685178,0.95,3,174,10000,seed,subject,0.0,0.0,0,10000,10000
eegnet,tuab_normal_vs_abnormal,macro_f1,drop_sham,0.0,0.0,0.0,0.95,3,174,10000,seed,subject,1.0,1.0,10000,10000,10000
eegnet,tuab_normal_vs_abnormal,macro_f1,drop_aperiodic,0.07444169017631014,0.025435187708155414,0.12204407579140406,0.95,3,174,10000,seed,subject,0.001,0.002,10,9990,10000
eegnet,tuab_normal_vs_abnormal,macro_f1,drop_flattened,0.05134279909662848,0.018096886143487152,0.08211324395809186,0.95,3,174,10000,seed,subject,0.0018,0.0036,18,9982,10000
eegnet,tuab_normal_vs_abnormal,accuracy,baseline,0.7396474987853686,0.6887045970914976,0.7896007985698626,0.95,3,174,10000,seed,subject,0.0,0.0,0,10000,10000
eegnet,tuab_normal_vs_abnormal,accuracy,sham,0.7396474987853686,0.6887045970914976,0.7896007985698626,0.95,3,174,10000,seed,subject,0.0,0.0,0,10000,10000
eegnet,tuab_normal_vs_abnormal,accuracy,aperiodic,0.5866611570477144,0.5023054669979348,0.6702287776090252,0.95,3,174,10000,seed,subject,0.0,0.0,0,10000,10000
eegnet,tuab_normal_vs_abnormal,accuracy,flattened,0.653059956941381,0.5825413461122136,0.7193040536098654,0.95,3,174,10000,seed,subject,0.0,0.0,0,10000,10000
eegnet,tuab_normal_vs_abnormal,accuracy,retention_sham,1.0,1.0,1.0,0.95,3,174,10000,seed,subject,0.0,0.0,0,10000,10000
eegnet,tuab_normal_vs_abnormal,accuracy,retention_aperiodic,0.7931631730129761,0.6846493833702714,0.9058566107428658,0.95,3,174,10000,seed,subject,0.0,0.0,0,10000,10000
eegnet,tuab_normal_vs_abnormal,accuracy,retention_flattened,0.8829340436002561,0.7949003789909366,0.9824489523220494,0.95,3,174,10000,seed,subject,0.0,0.0,0,10000,10000
eegnet,tuab_normal_vs_abnormal,accuracy,drop_sham,0.0,0.0,0.0,0.95,3,174,10000,seed,subject,1.0,1.0,10000,10000,10000
eegnet,tuab_normal_vs_abnormal,accuracy,drop_aperiodic,0.15298634173765424,0.06727841040705156,0.2360610704833398,0.95,3,174,10000,seed,subject,0.0002,0.0004,2,9998,10000
eegnet,tuab_normal_vs_abnormal,accuracy,drop_flattened,0.08658754184398765,0.01248342336958321,0.1543935899310783,0.95,3,174,10000,seed,subject,0.0126,0.0252,126,9874,10000
shallow_fbcsp,tuab_normal_vs_abnormal,balanced_accuracy,baseline,0.7578859207338438,0.7081659642026039,0.8069581890273159,0.95,3,174,10000,seed,subject,0.0,0.0,0,10000,10000
shallow_fbcsp,tuab_normal_vs_abnormal,balanced_accuracy,sham,0.7578859207338438,0.7081659642026039,0.8069581890273159,0.95,3,174,10000,seed,subject,0.0,0.0,0,10000,10000
shallow_fbcsp,tuab_normal_vs_abnormal,balanced_accuracy,aperiodic,0.6018686651223948,0.5370369150864386,0.6652341930633773,0.95,3,174,10000,seed,subject,0.0,0.0,0,10000,10000
shallow_fbcsp,tuab_normal_vs_abnormal,balanced_accuracy,flattened,0.6758778092628285,0.613941398573102,0.7356654922325884,0.95,3,174,10000,seed,subject,0.0,0.0,0,10000,10000
shallow_fbcsp,tuab_normal_vs_abnormal,balanced_accuracy,retention_sham,1.0,1.0,1.0,0.95,3,174,10000,seed,subject,0.0,0.0,0,10000,10000
shallow_fbcsp,tuab_normal_vs_abnormal,balanced_accuracy,retention_aperiodic,0.7941415042248298,0.7076869229431814,0.8808194917175612,0.95,3,174,10000,seed,subject,0.0,0.0,0,10000,10000
shallow_fbcsp,tuab_normal_vs_abnormal,balanced_accuracy,retention_flattened,0.8917935942237736,0.8120547633537663,0.9736271710580048,0.95,3,174,10000,seed,subject,0.0,0.0,0,10000,10000
shallow_fbcsp,tuab_normal_vs_abnormal,balanced_accuracy,drop_sham,0.0,0.0,0.0,0.95,3,174,10000,seed,subject,1.0,1.0,10000,10000,10000
shallow_fbcsp,tuab_normal_vs_abnormal,balanced_accuracy,drop_aperiodic,0.15601725561144897,0.08775553317513912,0.22637167060142696,0.95,3,174,10000,seed,subject,0.0,0.0,0,10000,10000
shallow_fbcsp,tuab_normal_vs_abnormal,balanced_accuracy,drop_flattened,0.08200811147101528,0.0192862369943457,0.144972122429279,0.95,3,174,10000,seed,subject,0.005,0.01,50,9950,10000
shallow_fbcsp,tuab_normal_vs_abnormal,macro_f1,baseline,0.40311991602549285,0.3803782867757214,0.4245184327975511,0.95,3,174,10000,seed,subject,0.0,0.0,0,10000,10000
shallow_fbcsp,tuab_normal_vs_abnormal,macro_f1,sham,0.40311991602549285,0.3803782867757214,0.4245184327975511,0.95,3,174,10000,seed,subject,0.0,0.0,0,10000,10000
shallow_fbcsp,tuab_normal_vs_abnormal,macro_f1,aperiodic,0.32595495950172876,0.29371454955327064,0.3568666739053473,0.95,3,174,10000,seed,subject,0.0,0.0,0,10000,10000
shallow_fbcsp,tuab_normal_vs_abnormal,macro_f1,flattened,0.35375789399988233,0.32403367675044165,0.38269920312388717,0.95,3,174,10000,seed,subject,0.0,0.0,0,10000,10000
shallow_fbcsp,tuab_normal_vs_abnormal,macro_f1,retention_sham,1.0,1.0,1.0,0.95,3,174,10000,seed,subject,0.0,0.0,0,10000,10000
shallow_fbcsp,tuab_normal_vs_abnormal,macro_f1,retention_aperiodic,0.808580639516495,0.7293415443768315,0.8888883413117191,0.95,3,174,10000,seed,subject,0.0,0.0,0,10000,10000
shallow_fbcsp,tuab_normal_vs_abnormal,macro_f1,retention_flattened,0.8775500290030599,0.8061598552788888,0.9479226657119154,0.95,3,174,10000,seed,subject,0.0,0.0,0,10000,10000
shallow_fbcsp,tuab_normal_vs_abnormal,macro_f1,drop_sham,0.0,0.0,0.0,0.95,3,174,10000,seed,subject,1.0,1.0,10000,10000,10000
shallow_fbcsp,tuab_normal_vs_abnormal,macro_f1,drop_aperiodic,0.0771649565237641,0.04374698041255703,0.11087219276234413,0.95,3,174,10000,seed,subject,0.0,0.0,0,10000,10000
shallow_fbcsp,tuab_normal_vs_abnormal,macro_f1,drop_flattened,0.04936202202561052,0.020604004069805868,0.07941346020912535,0.95,3,174,10000,seed,subject,0.0004,0.0008,4,9996,10000
shallow_fbcsp,tuab_normal_vs_abnormal,accuracy,baseline,0.7578859207338438,0.7092772261671993,0.8062754742556101,0.95,3,174,10000,seed,subject,0.0,0.0,0,10000,10000
shallow_fbcsp,tuab_normal_vs_abnormal,accuracy,sham,0.7578859207338438,0.7092772261671993,0.8062754742556101,0.95,3,174,10000,seed,subject,0.0,0.0,0,10000,10000
shallow_fbcsp,tuab_normal_vs_abnormal,accuracy,aperiodic,0.6018686651223948,0.5371312605321689,0.6653640657849157,0.95,3,174,10000,seed,subject,0.0,0.0,0,10000,10000
shallow_fbcsp,tuab_normal_vs_abnormal,accuracy,flattened,0.6758778092628285,0.6139743535676105,0.7346404968173912,0.95,3,174,10000,seed,subject,0.0,0.0,0,10000,10000
shallow_fbcsp,tuab_normal_vs_abnormal,accuracy,retention_sham,1.0,1.0,1.0,0.95,3,174,10000,seed,subject,0.0,0.0,0,10000,10000
shallow_fbcsp,tuab_normal_vs_abnormal,accuracy,retention_aperiodic,0.7941415042248298,0.7094053597411427,0.8833202017514857,0.95,3,174,10000,seed,subject,0.0,0.0,0,10000,10000
shallow_fbcsp,tuab_normal_vs_abnormal,accuracy,retention_flattened,0.8917935942237736,0.812433395192724,0.9717291293114495,0.95,3,174,10000,seed,subject,0.0,0.0,0,10000,10000
shallow_fbcsp,tuab_normal_vs_abnormal,accuracy,drop_sham,0.0,0.0,0.0,0.95,3,174,10000,seed,subject,1.0,1.0,10000,10000,10000
shallow_fbcsp,tuab_normal_vs_abnormal,accuracy,drop_aperiodic,0.15601725561144897,0.08536553008800027,0.22491355048731732,0.95,3,174,10000,seed,subject,0.0,0.0,0,10000,10000
shallow_fbcsp,tuab_normal_vs_abnormal,accuracy,drop_flattened,0.08200811147101528,0.0207375000802452,0.1449358447278102,0.95,3,174,10000,seed,subject,0.0057,0.0114,57,9943,10000
deep4,tuab_normal_vs_abnormal,balanced_accuracy,baseline,0.7635130227008098,0.7139283448301756,0.8107808782528634,0.95,3,174,10000,seed,subject,0.0,0.0,0,10000,10000
