model,task,metric,estimate,point,ci_lower,ci_upper,ci,n_seeds,n_subjects,n_bootstrap,bootstrap_unit_1,bootstrap_unit_2,p_one_sided_positive,p_two_sided_zero,n_bootstrap_nonpositive,n_bootstrap_nonnegative,n_bootstrap_valid
BIOT,tuab_normal_vs_abnormal,balanced_accuracy,baseline,0.8020166386877365,0.7808103194087906,0.8230119233380855,0.95,3,253,10000,seed,eval_subject_stratified_by_label,0.0,0.0,0,10000,10000
BIOT,tuab_normal_vs_abnormal,balanced_accuracy,sham,0.8002363472834442,0.779143263361496,0.8211511445024638,0.95,3,253,10000,seed,eval_subject_stratified_by_label,0.0,0.0,0,10000,10000
BIOT,tuab_normal_vs_abnormal,balanced_accuracy,aperiodic,0.6779065942228262,0.6508651148380057,0.7041433653595722,0.95,3,253,10000,seed,eval_subject_stratified_by_label,0.0,0.0,0,10000,10000
BIOT,tuab_normal_vs_abnormal,balanced_accuracy,flattened,0.6916619326862908,0.66568740848615,0.7187033166364211,0.95,3,253,10000,seed,eval_subject_stratified_by_label,0.0,0.0,0,10000,10000
BIOT,tuab_normal_vs_abnormal,balanced_accuracy,drop_sham,0.0017802914042923668,0.0005243249704381394,0.003020561367497797,0.95,3,253,10000,seed,eval_subject_stratified_by_label,0.0026,0.0052,26,9974,10000
BIOT,tuab_normal_vs_abnormal,balanced_accuracy,retention_sham,0.9977802313338471,0.9962539909588568,0.9993422675854813,0.95,3,253,10000,seed,eval_subject_stratified_by_label,0.0,0.0,0,10000,10000
BIOT,tuab_normal_vs_abnormal,balanced_accuracy,drop_aperiodic,0.12411004446491036,0.09935943701073528,0.15099326218090664,0.95,3,253,10000,seed,eval_subject_stratified_by_label,0.0,0.0,0,10000,10000
BIOT,tuab_normal_vs_abnormal,balanced_accuracy,retention_aperiodic,0.8452525315834097,0.8136173128406903,0.8752181378738159,0.95,3,253,10000,seed,eval_subject_stratified_by_label,0.0,0.0,0,10000,10000
BIOT,tuab_normal_vs_abnormal,balanced_accuracy,drop_flattened,0.1103547060014457,0.08843487527508283,0.13184928034293059,0.95,3,253,10000,seed,eval_subject_stratified_by_label,0.0,0.0,0,10000,10000
BIOT,tuab_normal_vs_abnormal,balanced_accuracy,retention_flattened,0.8624034706037912,0.8362765601025746,0.8893480483190548,0.95,3,253,10000,seed,eval_subject_stratified_by_label,0.0,0.0,0,10000,10000
BIOT,tuab_normal_vs_abnormal,macro_f1,baseline,0.8019734755667058,0.7814674784046346,0.822232710664782,0.95,3,253,10000,seed,eval_subject_stratified_by_label,0.0,0.0,0,10000,10000
BIOT,tuab_normal_vs_abnormal,macro_f1,sham,0.7998086605482448,0.7794954585560672,0.8198096842157898,0.95,3,253,10000,seed,eval_subject_stratified_by_label,0.0,0.0,0,10000,10000
BIOT,tuab_normal_vs_abnormal,macro_f1,aperiodic,0.6570504700432767,0.6181488883408925,0.6890824501762459,0.95,3,253,10000,seed,eval_subject_stratified_by_label,0.0,0.0,0,10000,10000
BIOT,tuab_normal_vs_abnormal,macro_f1,flattened,0.6869345574985197,0.6544687392467102,0.7183815259773375,0.95,3,253,10000,seed,eval_subject_stratified_by_label,0.0,0.0,0,10000,10000
BIOT,tuab_normal_vs_abnormal,macro_f1,drop_sham,0.002164815018460997,0.0008557894843902043,0.0034615444376504324,0.95,3,253,10000,seed,eval_subject_stratified_by_label,0.0009,0.0018,9,9991,10000
BIOT,tuab_normal_vs_abnormal,macro_f1,retention_sham,0.9973006401278655,0.995711977462971,0.9989238964585474,0.95,3,253,10000,seed,eval_subject_stratified_by_label,0.0,0.0,0,10000,10000
BIOT,tuab_normal_vs_abnormal,macro_f1,drop_aperiodic,0.14492300552342918,0.11375833036918272,0.18328378403043794,0.95,3,253,10000,seed,eval_subject_stratified_by_label,0.0,0.0,0,10000,10000
BIOT,tuab_normal_vs_abnormal,macro_f1,retention_aperiodic,0.8192920215708869,0.7730719457787266,0.8570634465857524,0.95,3,253,10000,seed,eval_subject_stratified_by_label,0.0,0.0,0,10000,10000
BIOT,tuab_normal_vs_abnormal,macro_f1,drop_flattened,0.11503891806818611,0.08953523560151411,0.14177348592426156,0.95,3,253,10000,seed,eval_subject_stratified_by_label,0.0,0.0,0,10000,10000
BIOT,tuab_normal_vs_abnormal,macro_f1,retention_flattened,0.8565552084039998,0.8231832287285014,0.8882705105219381,0.95,3,253,10000,seed,eval_subject_stratified_by_label,0.0,0.0,0,10000,10000
BIOT,tuab_normal_vs_abnormal,accuracy,baseline,0.8031398024089863,0.7826909905582368,0.8227449861064551,0.95,3,253,10000,seed,eval_subject_stratified_by_label,0.0,0.0,0,10000,10000
BIOT,tuab_normal_vs_abnormal,accuracy,sham,0.8007578833401001,0.7803369680005416,0.8203002205775566,0.95,3,253,10000,seed,eval_subject_stratified_by_label,0.0,0.0,0,10000,10000
BIOT,tuab_normal_vs_abnormal,accuracy,aperiodic,0.6633193485812243,0.6318591785788134,0.6923643834716853,0.95,3,253,10000,seed,eval_subject_stratified_by_label,0.0,0.0,0,10000,10000
