model,task,metric,estimate,point,ci_lower,ci_upper,ci,n_seeds,n_subjects,n_bootstrap,bootstrap_unit_1,bootstrap_unit_2,p_one_sided_positive,p_two_sided_zero,n_bootstrap_nonpositive,n_bootstrap_nonnegative,n_bootstrap_valid
eegnet,tuab_normal_vs_abnormal,balanced_accuracy,baseline,0.8040415385293028,0.7652031329098595,0.8425409961353283,0.95,3,253,10000,seed,subject,0.0,0.0,0,10000,10000
eegnet,tuab_normal_vs_abnormal,balanced_accuracy,sham,0.8040415385293028,0.7652031329098595,0.8425409961353283,0.95,3,253,10000,seed,subject,0.0,0.0,0,10000,10000
eegnet,tuab_normal_vs_abnormal,balanced_accuracy,aperiodic,0.5779551050333652,0.4911088976832789,0.6577454794559147,0.95,3,253,10000,seed,subject,0.0,0.0,0,10000,10000
eegnet,tuab_normal_vs_abnormal,balanced_accuracy,flattened,0.707283073643553,0.6552126182130467,0.7579016803193536,0.95,3,253,10000,seed,subject,0.0,0.0,0,10000,10000
eegnet,tuab_normal_vs_abnormal,balanced_accuracy,retention_sham,1.0,1.0,1.0,0.95,3,253,10000,seed,subject,0.0,0.0,0,10000,10000
eegnet,tuab_normal_vs_abnormal,balanced_accuracy,retention_aperiodic,0.7188124957953301,0.6150669337979768,0.8156387392778863,0.95,3,253,10000,seed,subject,0.0,0.0,0,10000,10000
eegnet,tuab_normal_vs_abnormal,balanced_accuracy,retention_flattened,0.8796598679929725,0.8228521550771929,0.9365290679035951,0.95,3,253,10000,seed,subject,0.0,0.0,0,10000,10000
eegnet,tuab_normal_vs_abnormal,balanced_accuracy,drop_sham,0.0,0.0,0.0,0.95,3,253,10000,seed,subject,1.0,1.0,10000,10000,10000
eegnet,tuab_normal_vs_abnormal,balanced_accuracy,drop_aperiodic,0.2260864334959376,0.1469896367583621,0.31117193252124115,0.95,3,253,10000,seed,subject,0.0,0.0,0,10000,10000
eegnet,tuab_normal_vs_abnormal,balanced_accuracy,drop_flattened,0.0967584648857498,0.049956276892563906,0.14374564375703386,0.95,3,253,10000,seed,subject,0.0001,0.0002,1,9999,10000
eegnet,tuab_normal_vs_abnormal,macro_f1,baseline,0.42024353532553516,0.40196119378177425,0.43779712683211075,0.95,3,253,10000,seed,subject,0.0,0.0,0,10000,10000
eegnet,tuab_normal_vs_abnormal,macro_f1,sham,0.42024353532553516,0.40196119378177425,0.43779712683211075,0.95,3,253,10000,seed,subject,0.0,0.0,0,10000,10000
eegnet,tuab_normal_vs_abnormal,macro_f1,aperiodic,0.3205592987548022,0.27207814308254086,0.36178782258234093,0.95,3,253,10000,seed,subject,0.0,0.0,0,10000,10000
eegnet,tuab_normal_vs_abnormal,macro_f1,flattened,0.3667405445719453,0.3414743060675265,0.3907334809010809,0.95,3,253,10000,seed,subject,0.0,0.0,0,10000,10000
eegnet,tuab_normal_vs_abnormal,macro_f1,retention_sham,1.0,1.0,1.0,0.95,3,253,10000,seed,subject,0.0,0.0,0,10000,10000
eegnet,tuab_normal_vs_abnormal,macro_f1,retention_aperiodic,0.762794122475878,0.6496504873878255,0.8618572750223502,0.95,3,253,10000,seed,subject,0.0,0.0,0,10000,10000
eegnet,tuab_normal_vs_abnormal,macro_f1,retention_flattened,0.8726857494377764,0.8225465860371685,0.9248511635497576,0.95,3,253,10000,seed,subject,0.0,0.0,0,10000,10000
eegnet,tuab_normal_vs_abnormal,macro_f1,drop_sham,0.0,0.0,0.0,0.95,3,253,10000,seed,subject,1.0,1.0,10000,10000,10000
eegnet,tuab_normal_vs_abnormal,macro_f1,drop_aperiodic,0.09968423657073294,0.05740651603934061,0.14805712210787572,0.95,3,253,10000,seed,subject,0.0,0.0,0,10000,10000
eegnet,tuab_normal_vs_abnormal,macro_f1,drop_flattened,0.05350299075358983,0.03138069348618148,0.07506012785696765,0.95,3,253,10000,seed,subject,0.0,0.0,0,10000,10000
eegnet,tuab_normal_vs_abnormal,accuracy,baseline,0.8040415385293028,0.7630670209309072,0.843512181718502,0.95,3,253,10000,seed,subject,0.0,0.0,0,10000,10000
eegnet,tuab_normal_vs_abnormal,accuracy,sham,0.8040415385293028,0.7630670209309072,0.843512181718502,0.95,3,253,10000,seed,subject,0.0,0.0,0,10000,10000
eegnet,tuab_normal_vs_abnormal,accuracy,aperiodic,0.5779551050333652,0.4897711645197301,0.6567680453812104,0.95,3,253,10000,seed,subject,0.0,0.0,0,10000,10000
eegnet,tuab_normal_vs_abnormal,accuracy,flattened,0.707283073643553,0.6561180770129418,0.7584152550879489,0.95,3,253,10000,seed,subject,0.0,0.0,0,10000,10000
eegnet,tuab_normal_vs_abnormal,accuracy,retention_sham,1.0,1.0,1.0,0.95,3,253,10000,seed,subject,0.0,0.0,0,10000,10000
eegnet,tuab_normal_vs_abnormal,accuracy,retention_aperiodic,0.7188124957953301,0.6137393107100096,0.8135477314413331,0.95,3,253,10000,seed,subject,0.0,0.0,0,10000,10000
eegnet,tuab_normal_vs_abnormal,accuracy,retention_flattened,0.8796598679929725,0.8242046792270209,0.9376674307627916,0.95,3,253,10000,seed,subject,0.0,0.0,0,10000,10000
eegnet,tuab_normal_vs_abnormal,accuracy,drop_sham,0.0,0.0,0.0,0.95,3,253,10000,seed,subject,1.0,1.0,10000,10000,10000
eegnet,tuab_normal_vs_abnormal,accuracy,drop_aperiodic,0.2260864334959376,0.14793692165417188,0.3117736153557878,0.95,3,253,10000,seed,subject,0.0,0.0,0,10000,10000
eegnet,tuab_normal_vs_abnormal,accuracy,drop_flattened,0.0967584648857498,0.049235485397772887,0.14319006696260772,0.95,3,253,10000,seed,subject,0.0,0.0,0,10000,10000
shallow_fbcsp,tuab_normal_vs_abnormal,balanced_accuracy,baseline,0.7964678065060301,0.7545812872923892,0.8356394529513631,0.95,3,253,10000,seed,subject,0.0,0.0,0,10000,10000
shallow_fbcsp,tuab_normal_vs_abnormal,balanced_accuracy,sham,0.7964678065060301,0.7545812872923892,0.8356394529513631,0.95,3,253,10000,seed,subject,0.0,0.0,0,10000,10000
shallow_fbcsp,tuab_normal_vs_abnormal,balanced_accuracy,aperiodic,0.57532478580295,0.5105843660977999,0.6394686588983777,0.95,3,253,10000,seed,subject,0.0,0.0,0,10000,10000
shallow_fbcsp,tuab_normal_vs_abnormal,balanced_accuracy,flattened,0.7265398234874576,0.675836395132265,0.7743016214727648,0.95,3,253,10000,seed,subject,0.0,0.0,0,10000,10000
shallow_fbcsp,tuab_normal_vs_abnormal,balanced_accuracy,retention_sham,1.0,1.0,1.0,0.95,3,253,10000,seed,subject,0.0,0.0,0,10000,10000
shallow_fbcsp,tuab_normal_vs_abnormal,balanced_accuracy,retention_aperiodic,0.7223453115158575,0.6419445565060293,0.8019329400033636,0.95,3,253,10000,seed,subject,0.0,0.0,0,10000,10000
shallow_fbcsp,tuab_normal_vs_abnormal,balanced_accuracy,retention_flattened,0.9122023734702664,0.8536871322267766,0.9747525739773107,0.95,3,253,10000,seed,subject,0.0,0.0,0,10000,10000
shallow_fbcsp,tuab_normal_vs_abnormal,balanced_accuracy,drop_sham,0.0,0.0,0.0,0.95,3,253,10000,seed,subject,1.0,1.0,10000,10000,10000
shallow_fbcsp,tuab_normal_vs_abnormal,balanced_accuracy,drop_aperiodic,0.22114302070308012,0.15524460958176015,0.28876339819041563,0.95,3,253,10000,seed,subject,0.0,0.0,0,10000,10000
shallow_fbcsp,tuab_normal_vs_abnormal,balanced_accuracy,drop_flattened,0.0699279830185725,0.019644782865620956,0.11859115507881972,0.95,3,253,10000,seed,subject,0.003,0.006,30,9970,10000
shallow_fbcsp,tuab_normal_vs_abnormal,macro_f1,baseline,0.41849211168113043,0.40004605620673206,0.43639149124774357,0.95,3,253,10000,seed,subject,0.0,0.0,0,10000,10000
shallow_fbcsp,tuab_normal_vs_abnormal,macro_f1,sham,0.41849211168113043,0.40004605620673206,0.43639149124774357,0.95,3,253,10000,seed,subject,0.0,0.0,0,10000,10000
shallow_fbcsp,tuab_normal_vs_abnormal,macro_f1,aperiodic,0.31776335032886305,0.2851933360177248,0.3513364950043357,0.95,3,253,10000,seed,subject,0.0,0.0,0,10000,10000
shallow_fbcsp,tuab_normal_vs_abnormal,macro_f1,flattened,0.37802520671977274,0.35459949979717953,0.4008010481013994,0.95,3,253,10000,seed,subject,0.0,0.0,0,10000,10000
shallow_fbcsp,tuab_normal_vs_abnormal,macro_f1,retention_sham,1.0,1.0,1.0,0.95,3,253,10000,seed,subject,0.0,0.0,0,10000,10000
shallow_fbcsp,tuab_normal_vs_abnormal,macro_f1,retention_aperiodic,0.7593054718579318,0.6791932786193006,0.8377906226026969,0.95,3,253,10000,seed,subject,0.0,0.0,0,10000,10000
shallow_fbcsp,tuab_normal_vs_abnormal,macro_f1,retention_flattened,0.9033030639483322,0.8524213312346559,0.9556578428174042,0.95,3,253,10000,seed,subject,0.0,0.0,0,10000,10000
shallow_fbcsp,tuab_normal_vs_abnormal,macro_f1,drop_sham,0.0,0.0,0.0,0.95,3,253,10000,seed,subject,1.0,1.0,10000,10000,10000
shallow_fbcsp,tuab_normal_vs_abnormal,macro_f1,drop_aperiodic,0.10072876135226738,0.06725025550910892,0.13551181848293287,0.95,3,253,10000,seed,subject,0.0,0.0,0,10000,10000
shallow_fbcsp,tuab_normal_vs_abnormal,macro_f1,drop_flattened,0.040466904961357686,0.018215628992466166,0.06244772009334931,0.95,3,253,10000,seed,subject,0.0001,0.0002,1,9999,10000
shallow_fbcsp,tuab_normal_vs_abnormal,accuracy,baseline,0.7964678065060301,0.7536047595428469,0.8364556560704637,0.95,3,253,10000,seed,subject,0.0,0.0,0,10000,10000
shallow_fbcsp,tuab_normal_vs_abnormal,accuracy,sham,0.7964678065060301,0.7536047595428469,0.8364556560704637,0.95,3,253,10000,seed,subject,0.0,0.0,0,10000,10000
