model,task,metric,estimate,point,ci_lower,ci_upper,ci,n_seeds,n_subjects,n_bootstrap,bootstrap_unit_1,bootstrap_unit_2
eegnet,tuab_normal_vs_abnormal,balanced_accuracy,baseline,0.7915999917356776,0.7534618822353955,0.8297074763067672,0.95,1,253,10000,seed,subject
eegnet,tuab_normal_vs_abnormal,balanced_accuracy,sham,0.7915999917356776,0.7534618822353955,0.8297074763067672,0.95,1,253,10000,seed,subject
eegnet,tuab_normal_vs_abnormal,balanced_accuracy,aperiodic,0.49493178232314394,0.44270939989667735,0.547821274316228,0.95,1,253,10000,seed,subject
eegnet,tuab_normal_vs_abnormal,balanced_accuracy,flattened,0.7117723297969937,0.6611788126376025,0.7614384163596793,0.95,1,253,10000,seed,subject
eegnet,tuab_normal_vs_abnormal,balanced_accuracy,retention_sham,1.0,1.0,1.0,0.95,1,253,10000,seed,subject
eegnet,tuab_normal_vs_abnormal,balanced_accuracy,retention_aperiodic,0.6252296456420456,0.5554421790021749,0.6977006892652511,0.95,1,253,10000,seed,subject
eegnet,tuab_normal_vs_abnormal,balanced_accuracy,retention_flattened,0.8991565654723515,0.8379417388823875,0.9601680165548108,0.95,1,253,10000,seed,subject
eegnet,tuab_normal_vs_abnormal,balanced_accuracy,drop_sham,0.0,0.0,0.0,0.95,1,253,10000,seed,subject
eegnet,tuab_normal_vs_abnormal,balanced_accuracy,drop_aperiodic,0.2966682094125337,0.23335548673292514,0.3600888512136659,0.95,1,253,10000,seed,subject
eegnet,tuab_normal_vs_abnormal,balanced_accuracy,drop_flattened,0.07982766193868396,0.03117452634873458,0.13055622537556058,0.95,1,253,10000,seed,subject
eegnet,tuab_normal_vs_abnormal,macro_f1,baseline,0.41712948026952373,0.3989697487663302,0.43417414479247657,0.95,1,253,10000,seed,subject
eegnet,tuab_normal_vs_abnormal,macro_f1,sham,0.41712948026952373,0.3989697487663302,0.43417414479247657,0.95,1,253,10000,seed,subject
eegnet,tuab_normal_vs_abnormal,macro_f1,aperiodic,0.27202623209477084,0.24662872759092358,0.29678246693962235,0.95,1,253,10000,seed,subject
eegnet,tuab_normal_vs_abnormal,macro_f1,flattened,0.3704191053875477,0.34574499127865416,0.39375755611812785,0.95,1,253,10000,seed,subject
eegnet,tuab_normal_vs_abnormal,macro_f1,retention_sham,1.0,1.0,1.0,0.95,1,253,10000,seed,subject
eegnet,tuab_normal_vs_abnormal,macro_f1,retention_aperiodic,0.6521385923598687,0.5887619841729941,0.7177885921660814,0.95,1,253,10000,seed,subject
eegnet,tuab_normal_vs_abnormal,macro_f1,retention_flattened,0.8880194829389795,0.8344654471155851,0.9414598552975858,0.95,1,253,10000,seed,subject
eegnet,tuab_normal_vs_abnormal,macro_f1,drop_sham,0.0,0.0,0.0,0.95,1,253,10000,seed,subject
eegnet,tuab_normal_vs_abnormal,macro_f1,drop_aperiodic,0.1451032481747529,0.11538271282532443,0.17453152818504716,0.95,1,253,10000,seed,subject
eegnet,tuab_normal_vs_abnormal,macro_f1,drop_flattened,0.04671037488197605,0.024066363527417128,0.06967494188007414,0.95,1,253,10000,seed,subject
eegnet,tuab_normal_vs_abnormal,accuracy,baseline,0.7915999917356776,0.7521261200709682,0.8299554382570321,0.95,1,253,10000,seed,subject
eegnet,tuab_normal_vs_abnormal,accuracy,sham,0.7915999917356776,0.7521261200709682,0.8299554382570321,0.95,1,253,10000,seed,subject
eegnet,tuab_normal_vs_abnormal,accuracy,aperiodic,0.49493178232314394,0.4422315318789088,0.5481737503164242,0.95,1,253,10000,seed,subject
eegnet,tuab_normal_vs_abnormal,accuracy,flattened,0.7117723297969937,0.6617966409305711,0.7599617517816515,0.95,1,253,10000,seed,subject
eegnet,tuab_normal_vs_abnormal,accuracy,retention_sham,1.0,1.0,1.0,0.95,1,253,10000,seed,subject
eegnet,tuab_normal_vs_abnormal,accuracy,retention_aperiodic,0.6252296456420456,0.5567516741197903,0.6970557685327989,0.95,1,253,10000,seed,subject
eegnet,tuab_normal_vs_abnormal,accuracy,retention_flattened,0.8991565654723515,0.8398084843703697,0.960104177918868,0.95,1,253,10000,seed,subject
eegnet,tuab_normal_vs_abnormal,accuracy,drop_sham,0.0,0.0,0.0,0.95,1,253,10000,seed,subject
eegnet,tuab_normal_vs_abnormal,accuracy,drop_aperiodic,0.2966682094125337,0.2346771298024912,0.3583655499497153,0.95,1,253,10000,seed,subject
eegnet,tuab_normal_vs_abnormal,accuracy,drop_flattened,0.07982766193868396,0.031005048397721054,0.12903896240507992,0.95,1,253,10000,seed,subject
shallow_fbcsp,tuab_normal_vs_abnormal,balanced_accuracy,baseline,0.8005532888723695,0.760425259604042,0.8386130773071974,0.95,1,253,10000,seed,subject
shallow_fbcsp,tuab_normal_vs_abnormal,balanced_accuracy,sham,0.8005532888723695,0.760425259604042,0.8386130773071974,0.95,1,253,10000,seed,subject
shallow_fbcsp,tuab_normal_vs_abnormal,balanced_accuracy,aperiodic,0.5366706657965175,0.48477374686227354,0.5870395101901239,0.95,1,253,10000,seed,subject
shallow_fbcsp,tuab_normal_vs_abnormal,balanced_accuracy,flattened,0.723273982688402,0.6737325040257034,0.7711797632413016,0.95,1,253,10000,seed,subject
shallow_fbcsp,tuab_normal_vs_abnormal,balanced_accuracy,retention_sham,1.0,1.0,1.0,0.95,1,253,10000,seed,subject
shallow_fbcsp,tuab_normal_vs_abnormal,balanced_accuracy,retention_aperiodic,0.6703746936727377,0.6021967694429214,0.7399000069306146,0.95,1,253,10000,seed,subject
shallow_fbcsp,tuab_normal_vs_abnormal,balanced_accuracy,retention_flattened,0.903467630127633,0.8486029211319931,0.9610985923963605,0.95,1,253,10000,seed,subject
shallow_fbcsp,tuab_normal_vs_abnormal,balanced_accuracy,drop_sham,0.0,0.0,0.0,0.95,1,253,10000,seed,subject
shallow_fbcsp,tuab_normal_vs_abnormal,balanced_accuracy,drop_aperiodic,0.2638826230758521,0.2039953057078218,0.3245151471054449,0.95,1,253,10000,seed,subject
shallow_fbcsp,tuab_normal_vs_abnormal,balanced_accuracy,drop_flattened,0.0772793061839675,0.030654256212476187,0.12242460588039045,0.95,1,253,10000,seed,subject
shallow_fbcsp,tuab_normal_vs_abnormal,macro_f1,baseline,0.41985910109144703,0.40146390059474235,0.4371901985802241,0.95,1,253,10000,seed,subject
shallow_fbcsp,tuab_normal_vs_abnormal,macro_f1,sham,0.41985910109144703,0.40146390059474235,0.4371901985802241,0.95,1,253,10000,seed,subject
shallow_fbcsp,tuab_normal_vs_abnormal,macro_f1,aperiodic,0.2960247091560864,0.2717878011103777,0.32024593402521156,0.95,1,253,10000,seed,subject
shallow_fbcsp,tuab_normal_vs_abnormal,macro_f1,flattened,0.37612564464606074,0.35205846460249646,0.3988787992319096,0.95,1,253,10000,seed,subject
shallow_fbcsp,tuab_normal_vs_abnormal,macro_f1,retention_sham,1.0,1.0,1.0,0.95,1,253,10000,seed,subject
shallow_fbcsp,tuab_normal_vs_abnormal,macro_f1,retention_aperiodic,0.7050572641787537,0.6447789103122693,0.7692532469640238,0.95,1,253,10000,seed,subject
shallow_fbcsp,tuab_normal_vs_abnormal,macro_f1,retention_flattened,0.8958377790746973,0.845542346003626,0.9461471464824273,0.95,1,253,10000,seed,subject
shallow_fbcsp,tuab_normal_vs_abnormal,macro_f1,drop_sham,0.0,0.0,0.0,0.95,1,253,10000,seed,subject
shallow_fbcsp,tuab_normal_vs_abnormal,macro_f1,drop_aperiodic,0.12383439193536061,0.09427304085291513,0.15198267765427098,0.95,1,253,10000,seed,subject
shallow_fbcsp,tuab_normal_vs_abnormal,macro_f1,drop_flattened,0.04373345644538629,0.022375897354278723,0.06533302220949738,0.95,1,253,10000,seed,subject
shallow_fbcsp,tuab_normal_vs_abnormal,accuracy,baseline,0.8005532888723695,0.7605614633314834,0.837626803298748,0.95,1,253,10000,seed,subject
shallow_fbcsp,tuab_normal_vs_abnormal,accuracy,sham,0.8005532888723695,0.7605614633314834,0.837626803298748,0.95,1,253,10000,seed,subject
shallow_fbcsp,tuab_normal_vs_abnormal,accuracy,aperiodic,0.5366706657965175,0.48572379495175416,0.588280085516721,0.95,1,253,10000,seed,subject
shallow_fbcsp,tuab_normal_vs_abnormal,accuracy,flattened,0.723273982688402,0.6731896049770006,0.7712930166523118,0.95,1,253,10000,seed,subject
shallow_fbcsp,tuab_normal_vs_abnormal,accuracy,retention_sham,1.0,1.0,1.0,0.95,1,253,10000,seed,subject
shallow_fbcsp,tuab_normal_vs_abnormal,accuracy,retention_aperiodic,0.6703746936727377,0.6030933778528804,0.7422468460856426,0.95,1,253,10000,seed,subject
shallow_fbcsp,tuab_normal_vs_abnormal,accuracy,retention_flattened,0.903467630127633,0.84674012606166,0.96124082939036,0.95,1,253,10000,seed,subject
shallow_fbcsp,tuab_normal_vs_abnormal,accuracy,drop_sham,0.0,0.0,0.0,0.95,1,253,10000,seed,subject
shallow_fbcsp,tuab_normal_vs_abnormal,accuracy,drop_aperiodic,0.2638826230758521,0.20168554531987612,0.32373665274903285,0.95,1,253,10000,seed,subject
shallow_fbcsp,tuab_normal_vs_abnormal,accuracy,drop_flattened,0.0772793061839675,0.030486004056858283,0.12445760224419639,0.95,1,253,10000,seed,subject
deep4,tuab_normal_vs_abnormal,balanced_accuracy,baseline,0.8073207296009379,0.7666493216081058,0.84531276667352,0.95,1,253,10000,seed,subject
deep4,tuab_normal_vs_abnormal,balanced_accuracy,sham,0.8073207296009379,0.7666493216081058,0.84531276667352,0.95,1,253,10000,seed,subject
deep4,tuab_normal_vs_abnormal,balanced_accuracy,aperiodic,0.5335593996003767,0.48423938291002966,0.5837323911101951,0.95,1,253,10000,seed,subject
deep4,tuab_normal_vs_abnormal,balanced_accuracy,flattened,0.7033527899891842,0.6515694501577919,0.7536602096537628,0.95,1,253,10000,seed,subject
deep4,tuab_normal_vs_abnormal,balanced_accuracy,retention_sham,1.0,1.0,1.0,0.95,1,253,10000,seed,subject
deep4,tuab_normal_vs_abnormal,balanced_accuracy,retention_aperiodic,0.6609013989571622,0.5981623144366804,0.7276312012002597,0.95,1,253,10000,seed,subject
deep4,tuab_normal_vs_abnormal,balanced_accuracy,retention_flattened,0.8712185432632882,0.8125694684565592,0.9324357043245598,0.95,1,253,10000,seed,subject
deep4,tuab_normal_vs_abnormal,balanced_accuracy,drop_sham,0.0,0.0,0.0,0.95,1,253,10000,seed,subject
deep4,tuab_normal_vs_abnormal,balanced_accuracy,drop_aperiodic,0.27376133000056124,0.21545064510444337,0.33098105659220367,0.95,1,253,10000,seed,subject
deep4,tuab_normal_vs_abnormal,balanced_accuracy,drop_flattened,0.10396793961175377,0.053730194314693745,0.15301825415855252,0.95,1,253,10000,seed,subject
deep4,tuab_normal_vs_abnormal,macro_f1,baseline,0.421592065653036,0.40351534740624434,0.43869690087220187,0.95,1,253,10000,seed,subject
deep4,tuab_normal_vs_abnormal,macro_f1,sham,0.421592065653036,0.40351534740624434,0.43869690087220187,0.95,1,253,10000,seed,subject
