model,task,metric,estimate,point,ci_lower,ci_upper,ci,n_seeds,n_subjects,n_bootstrap,bootstrap_unit_1,bootstrap_unit_2
deep_mlp,tuab_normal_vs_abnormal,balanced_accuracy,baseline,0.7385098658060447,0.6611672366735657,0.8122717628664942,0.95,3,80,10000,seed,subject
deep_mlp,tuab_normal_vs_abnormal,balanced_accuracy,aperiodic,0.5603447145611882,0.46045742779680277,0.6578519419162058,0.95,3,80,10000,seed,subject
deep_mlp,tuab_normal_vs_abnormal,balanced_accuracy,flattened,0.6072965399432529,0.5239319156180812,0.6910420134687931,0.95,3,80,10000,seed,subject
deep_mlp,tuab_normal_vs_abnormal,balanced_accuracy,retention_aperiodic,0.7587504791822941,0.6113115888504485,0.9176629850103273,0.95,3,80,10000,seed,subject
deep_mlp,tuab_normal_vs_abnormal,balanced_accuracy,retention_flattened,0.8223269154033855,0.7009904330341494,0.9497002030208037,0.95,3,80,10000,seed,subject
deep_mlp,tuab_normal_vs_abnormal,balanced_accuracy,drop_aperiodic,0.17816515124485655,0.057138033161038465,0.30192053841608235,0.95,3,80,10000,seed,subject
deep_mlp,tuab_normal_vs_abnormal,balanced_accuracy,drop_flattened,0.13121332586279177,0.0345633186039687,0.23090107991297207,0.95,3,80,10000,seed,subject
deep_mlp,tuab_normal_vs_abnormal,macro_f1,baseline,0.3940261432121385,0.35807272082724695,0.42726388417311195,0.95,3,80,10000,seed,subject
deep_mlp,tuab_normal_vs_abnormal,macro_f1,aperiodic,0.29397368717022143,0.24547817424009993,0.3420579881823758,0.95,3,80,10000,seed,subject
deep_mlp,tuab_normal_vs_abnormal,macro_f1,flattened,0.33847725440900117,0.29576473138595133,0.3773838976335413,0.95,3,80,10000,seed,subject
deep_mlp,tuab_normal_vs_abnormal,macro_f1,retention_aperiodic,0.7460766049016951,0.61387873122881,0.8885545648023946,0.95,3,80,10000,seed,subject
deep_mlp,tuab_normal_vs_abnormal,macro_f1,retention_flattened,0.8590223269189766,0.7454645760053592,0.9718265027147057,0.95,3,80,10000,seed,subject
deep_mlp,tuab_normal_vs_abnormal,macro_f1,drop_aperiodic,0.10005245604191709,0.04162832748319652,0.15699638958393708,0.95,3,80,10000,seed,subject
deep_mlp,tuab_normal_vs_abnormal,macro_f1,drop_flattened,0.05554888880313735,0.010579374701066648,0.10441902540461886,0.95,3,80,10000,seed,subject
deep_mlp,tuab_normal_vs_abnormal,accuracy,baseline,0.7385098658060447,0.6615305224940479,0.8121211805442106,0.95,3,80,10000,seed,subject
deep_mlp,tuab_normal_vs_abnormal,accuracy,aperiodic,0.5603447145611882,0.4604028984136435,0.6611548597902431,0.95,3,80,10000,seed,subject
deep_mlp,tuab_normal_vs_abnormal,accuracy,flattened,0.6072965399432529,0.5210231451747499,0.6898643367107277,0.95,3,80,10000,seed,subject
deep_mlp,tuab_normal_vs_abnormal,accuracy,retention_aperiodic,0.7587504791822941,0.6154096801101674,0.920207658372445,0.95,3,80,10000,seed,subject
deep_mlp,tuab_normal_vs_abnormal,accuracy,retention_flattened,0.8223269154033855,0.6976083174497991,0.9510521873605146,0.95,3,80,10000,seed,subject
