domain,cohort,task,model,train_input,test_or_condition,metric,estimate,point,ci_lower,ci_upper,formatted_95ci,n_subjects,n_seeds,n_bootstrap,source_file
Sleep-EDF,full 78-subject cohort,wake_vs_sleep,deep_mlp,,baseline,balanced_accuracy,baseline,0.928946,0.917606,0.938723,"0.929 [0.918, 0.939]",78,3,10000,reports/tables/full_sleep_edf_multiseed_subject_bootstrap.csv
Sleep-EDF,full 78-subject cohort,wake_vs_sleep,deep_mlp,,aperiodic,balanced_accuracy,aperiodic,0.783070,0.757251,0.807643,"0.783 [0.757, 0.808]",78,3,10000,reports/tables/full_sleep_edf_multiseed_subject_bootstrap.csv
Sleep-EDF,full 78-subject cohort,wake_vs_sleep,deep_mlp,,flattened,balanced_accuracy,flattened,0.500000,0.500000,0.500000,"0.500 [0.500, 0.500]",78,3,10000,reports/tables/full_sleep_edf_multiseed_subject_bootstrap.csv
Sleep-EDF,full 78-subject cohort,wake_vs_sleep,deep_mlp,,retention_aperiodic,balanced_accuracy,retention_aperiodic,0.842965,0.818778,0.865582,"0.843 [0.819, 0.866]",78,3,10000,reports/tables/full_sleep_edf_multiseed_subject_bootstrap.csv
Sleep-EDF,full 78-subject cohort,wake_vs_sleep,deep_mlp,,retention_flattened,balanced_accuracy,retention_flattened,0.538244,0.532638,0.544896,"0.538 [0.533, 0.545]",78,3,10000,reports/tables/full_sleep_edf_multiseed_subject_bootstrap.csv
Sleep-EDF,full 78-subject cohort,wake_vs_sleep,deep_mlp,,drop_aperiodic,balanced_accuracy,drop_aperiodic,0.145877,0.125089,0.167955,"0.146 [0.125, 0.168]",78,3,10000,reports/tables/full_sleep_edf_multiseed_subject_bootstrap.csv
Sleep-EDF,full 78-subject cohort,wake_vs_sleep,deep_mlp,,drop_flattened,balanced_accuracy,drop_flattened,0.428946,0.417606,0.438723,"0.429 [0.418, 0.439]",78,3,10000,reports/tables/full_sleep_edf_multiseed_subject_bootstrap.csv
Sleep-EDF,full 78-subject cohort,wake_vs_sleep,deep_mlp,,baseline,macro_f1,baseline,0.915477,0.901893,0.926428,"0.915 [0.902, 0.926]",78,3,10000,reports/tables/full_sleep_edf_multiseed_subject_bootstrap.csv
Sleep-EDF,full 78-subject cohort,wake_vs_sleep,deep_mlp,,aperiodic,macro_f1,aperiodic,0.795079,0.764681,0.823485,"0.795 [0.765, 0.823]",78,3,10000,reports/tables/full_sleep_edf_multiseed_subject_bootstrap.csv
Sleep-EDF,full 78-subject cohort,wake_vs_sleep,deep_mlp,,flattened,macro_f1,flattened,0.224966,0.208281,0.242252,"0.225 [0.208, 0.242]",78,3,10000,reports/tables/full_sleep_edf_multiseed_subject_bootstrap.csv
