task,train_input,test_input,metric,estimate,point,ci_lower,ci_upper,formatted_95ci,n_subjects,n_bootstrap
wake_vs_sleep,full_log_psd,full_log_psd,balanced_accuracy,performance,0.876142,0.858678,0.893015,"0.876 [0.859, 0.893]",78,10000
wake_vs_sleep,full_log_psd,full_log_psd,macro_f1,performance,0.829531,0.809149,0.849426,"0.830 [0.809, 0.849]",78,10000
wake_vs_sleep,full_log_psd,full_log_psd,accuracy,performance,0.899739,0.885400,0.913161,"0.900 [0.885, 0.913]",78,10000
wake_vs_sleep,full_log_psd,aperiodic_spectrum,balanced_accuracy,performance,0.867227,0.844877,0.888179,"0.867 [0.845, 0.888]",78,10000
wake_vs_sleep,full_log_psd,aperiodic_spectrum,macro_f1,performance,0.849506,0.828266,0.869677,"0.850 [0.828, 0.870]",78,10000
wake_vs_sleep,full_log_psd,aperiodic_spectrum,accuracy,performance,0.918610,0.904797,0.930992,"0.919 [0.905, 0.931]",78,10000
wake_vs_sleep,full_log_psd,flattened_log_psd,balanced_accuracy,performance,0.500000,0.500000,0.500000,"0.500 [0.500, 0.500]",78,10000
wake_vs_sleep,full_log_psd,flattened_log_psd,macro_f1,performance,0.151685,0.134323,0.169667,"0.152 [0.134, 0.170]",78,10000
wake_vs_sleep,full_log_psd,flattened_log_psd,accuracy,performance,0.189983,0.163928,0.217172,"0.190 [0.164, 0.217]",78,10000
n2_vs_n3,full_log_psd,full_log_psd,balanced_accuracy,performance,0.841976,0.813471,0.867624,"0.842 [0.813, 0.868]",78,10000
n2_vs_n3,full_log_psd,full_log_psd,macro_f1,performance,0.745149,0.708104,0.780528,"0.745 [0.708, 0.781]",78,10000
n2_vs_n3,full_log_psd,full_log_psd,accuracy,performance,0.858530,0.836009,0.879797,"0.859 [0.836, 0.880]",78,10000
n2_vs_n3,full_log_psd,aperiodic_spectrum,balanced_accuracy,performance,0.859193,0.832328,0.883903,"0.859 [0.832, 0.884]",78,10000
n2_vs_n3,full_log_psd,aperiodic_spectrum,macro_f1,performance,0.764652,0.725301,0.801743,"0.765 [0.725, 0.802]",78,10000
n2_vs_n3,full_log_psd,aperiodic_spectrum,accuracy,performance,0.874125,0.851970,0.894513,"0.874 [0.852, 0.895]",78,10000
n2_vs_n3,full_log_psd,flattened_log_psd,balanced_accuracy,performance,0.416667,0.378205,0.455128,"0.417 [0.378, 0.455]",78,10000
n2_vs_n3,full_log_psd,flattened_log_psd,macro_f1,performance,0.255574,0.220835,0.289307,"0.256 [0.221, 0.289]",78,10000
n2_vs_n3,full_log_psd,flattened_log_psd,accuracy,performance,0.399199,0.338891,0.459250,"0.399 [0.339, 0.459]",78,10000
five_stage,full_log_psd,full_log_psd,balanced_accuracy,performance,0.614743,0.592163,0.636731,"0.615 [0.592, 0.637]",78,10000
five_stage,full_log_psd,full_log_psd,macro_f1,performance,0.557937,0.533431,0.581544,"0.558 [0.533, 0.582]",78,10000
five_stage,full_log_psd,full_log_psd,accuracy,performance,0.644939,0.619804,0.670099,"0.645 [0.620, 0.670]",78,10000
five_stage,full_log_psd,aperiodic_spectrum,balanced_accuracy,performance,0.612282,0.589488,0.634430,"0.612 [0.589, 0.634]",78,10000
five_stage,full_log_psd,aperiodic_spectrum,macro_f1,performance,0.555503,0.530358,0.580217,"0.556 [0.530, 0.580]",78,10000
five_stage,full_log_psd,aperiodic_spectrum,accuracy,performance,0.644438,0.616694,0.671748,"0.644 [0.617, 0.672]",78,10000
five_stage,full_log_psd,flattened_log_psd,balanced_accuracy,performance,0.210256,0.205769,0.214744,"0.210 [0.206, 0.215]",78,10000
five_stage,full_log_psd,flattened_log_psd,macro_f1,performance,0.060674,0.053722,0.067673,"0.061 [0.054, 0.068]",78,10000
five_stage,full_log_psd,flattened_log_psd,accuracy,performance,0.189983,0.164340,0.218474,"0.190 [0.164, 0.218]",78,10000
wake_vs_sleep,full_log_psd,aperiodic_spectrum,balanced_accuracy,drop::aperiodic_spectrum,0.008915,-0.000744,0.019437,"0.009 [-0.001, 0.019]",78,10000
wake_vs_sleep,full_log_psd,aperiodic_spectrum,balanced_accuracy,retention::aperiodic_spectrum,0.988508,0.975370,1.000123,"0.989 [0.975, 1.000]",78,10000
wake_vs_sleep,full_log_psd,aperiodic_spectrum,macro_f1,drop::aperiodic_spectrum,-0.019975,-0.031772,-0.008318,"-0.020 [-0.032, -0.008]",78,10000
wake_vs_sleep,full_log_psd,aperiodic_spectrum,macro_f1,retention::aperiodic_spectrum,1.026360,1.011287,1.041911,"1.026 [1.011, 1.042]",78,10000
wake_vs_sleep,full_log_psd,aperiodic_spectrum,accuracy,drop::aperiodic_spectrum,-0.018871,-0.025725,-0.011941,"-0.019 [-0.026, -0.012]",78,10000
wake_vs_sleep,full_log_psd,aperiodic_spectrum,accuracy,retention::aperiodic_spectrum,1.022155,1.013975,1.030404,"1.022 [1.014, 1.030]",78,10000
wake_vs_sleep,full_log_psd,flattened_log_psd,balanced_accuracy,drop::flattened_log_psd,0.376142,0.358656,0.392612,"0.376 [0.359, 0.393]",78,10000
wake_vs_sleep,full_log_psd,flattened_log_psd,balanced_accuracy,retention::flattened_log_psd,0.575381,0.563665,0.587783,"0.575 [0.564, 0.588]",78,10000
wake_vs_sleep,full_log_psd,flattened_log_psd,macro_f1,drop::flattened_log_psd,0.677845,0.656939,0.699057,"0.678 [0.657, 0.699]",78,10000
wake_vs_sleep,full_log_psd,flattened_log_psd,macro_f1,retention::flattened_log_psd,0.180567,0.161480,0.200927,"0.181 [0.161, 0.201]",78,10000
wake_vs_sleep,full_log_psd,flattened_log_psd,accuracy,drop::flattened_log_psd,0.709756,0.678081,0.741361,"0.710 [0.678, 0.741]",78,10000
